Author, Title
"Doyle, Arthur Conan","The Adventures of Sherlock Holmes"
"Doyle, Arthur Conan","The Tragedy of the Korosko"
"Doyle, Arthur Conan","The Valley of Fear"
"Doyle, Arthur Conan","Through the Magic Door"
"Doyle, Arthur Conan","Uncle Bernac: A Memory of the Empire"
"Stoker, Bram","Dracula's Guest"
"Stoker, Bram","Lair of the White Worm"
"Stoker, Bram","The Jewel of Seven Stars"
"Stoker, Bram","The Man"
"Stoker, Bram","The Mystery of the Sea"
"Dickens, Charles","A Tale of Two Cities"
"Dickens, Charles","American Notes"
"Dickens, Charles","Barnaby Rudge: A Tale of the Riots of 'Eighty"
"Dickens, Charles","Great Expectations"
"Dickens, Charles","Hard Times"
"Poe, Edgar Allan","The Works of Edgar Allan Poe — Volume 1"
"Poe, Edgar Allan","The Works of Edgar Allan Poe — Volume 2"
"Poe, Edgar Allan","The Works of Edgar Allan Poe — Volume 3"
"Poe, Edgar Allan","The Works of Edgar Allan Poe — Volume 4"
"Poe, Edgar Allan","The Works of Edgar Allan Poe — Volume 5"
"Saki","Beasts and Super-Beasts"
"Saki","The Chronicles of Clovis"
"Saki","The Toys of Peace"
"Saki","When William Came"
"Saki","The Unbearable Bassington"
"Wodehouse","Girl on the Boat"
"Wodehouse","My Man Jeeves"
"Wodehouse","Something New"
"Wodehouse","The Adventures of Sally"
"Wodehouse","The Clicking of Cuthbert"
"Hardy, Thomas","A Pair of Blue Eyes"
"Hardy, Thomas","Far from the Madding Crowd"
"Hardy, Thomas","Jude the Obscure"
"Hardy, Thomas","The Mayor of Casterbridge"
"Hardy, Thomas","The Hand of Ethelberta"
"Thackeray, William M.","Barry Lyndon"
"Thackeray, William M.","The Book of Snobs"
"Thackeray, William M.","The History of Pendennis"
"Thackeray, William M.","The Virginians"
"Thackeray, William M.","Vanity Fair"
